"Australia","Australia1","Australia2","Australia3","Australia4","Canada","Canada1","Canada2","Canada3","Canada4","China","China1","China2","China3","China4","Germany","Germany1","Germany2","Germany3","Germany4","Thailand","Thailand1","Thailand2","Thailand3","Thailand4","Belgium","Belgium1","Belgium2","Belgium3","Belgium4","India","India1","India2","India3","India4"
4.68e-05,0,98,0,15,2.24e-05,0,74,0,13,0.000157,0,22,0,11,1.91e-08,0,108,0,2,6e-07,0,20,0,1,4.29e-07,0,278,1,0,2.98e-07,0,48,0,20
5.62e-05,0,98,0,15,2.38e-05,0,74,0,13,0.000157,0,22,0,11,2.09e-08,0,108,0,2,6.16e-07,0,20,0,1,3.94e-07,0,279,1,0,2.67e-07,0,48,0,20
5.52e-05,0,98,0,15,2.3e-05,0,74,0,13,0.000156,0,23,0,11,2.14e-08,0,108,0,2,6.44e-07,0,20,0,1,4.01e-07,0,280,1,0,2.48e-07,0,52,0,20
5.6e-05,0,98,0,15,2.26e-05,0,74,0,13,0.000156,0,23,0,11,2.18e-08,0,108,0,2,6.45e-07,0,20,0,1,3.95e-07,0,280,1,0,2.36e-07,0,52,0,20
5.43e-05,0,98,0,15,2.25e-05,0,74,0,13,0.000156,0,23,0,11,2.17e-08,0,108,0,2,6.29e-07,0,20,0,1,3.94e-07,0,280,1,0,2.11e-07,0,52,0,20
5.28e-05,0,98,0,15,2.26e-05,0,74,0,13,0.000155,0,23,0,11,2.18e-08,0,108,0,2,6.15e-07,0,20,0,1,3.83e-07,0,280,1,0,1.8e-07,0,52,0,20
5.14e-05,0,98,0,15,2.4e-05,0,74,0,13,0.000155,0,23,0,11,2.25e-08,0,108,0,2,6.03e-07,0,20,0,1,3.65e-07,0,280,1,0,1.72e-07,0,57,0,20
5.12e-05,0,98,0,15,2.38e-05,0,74,0,13,0.000154,0,23,0,11,2.29e-08,0,108,0,2,6.07e-07,0,20,0,1,3.58e-07,0,280,1,0,1.6e-07,0,58,0,20
5.05e-05,0,98,0,15,2.35e-05,0,74,0,13,0.000154,0,23,0,11,2.33e-08,0,108,0,2,6.14e-07,0,20,0,1,3.57e-07,0,280,1,0,1.49e-07,0,59,0,20
5.27e-05,0,98,0,15,2.33e-05,0,74,0,13,0.000154,0,23,0,11,2.38e-08,0,108,0,2,6.2e-07,0,20,0,1,3.54e-07,0,280,1,0,1.35e-07,0,61,0,20
5.48e-05,0,98,0,15,2.29e-05,0,74,0,13,0.000153,0,23,0,11,2.4e-08,0,108,0,2,6.04e-07,0,20,0,1,3.4e-07,0,280,1,0,1.3e-07,0,63,0,20
5.66e-05,0,98,0,15,2.29e-05,0,74,0,13,0.000153,0,23,0,11,2.4e-08,0,108,0,2,6.04e-07,0,20,0,1,3.37e-07,0,280,1,0,1.19e-07,0,63,0,20
5.78e-05,0,98,0,15,2.27e-05,0,74,0,13,0.000153,0,23,0,11,2.4e-08,0,108,0,2,5.97e-07,0,20,0,1,3.33e-07,0,280,1,0,1.13e-07,0,71,0,20
5.73e-05,0,98,0,15,2.29e-05,0,74,0,13,0.000153,0,23,0,11,2.43e-08,0,108,0,2,6.05e-07,0,20,0,1,3.31e-07,0,280,1,0,1.08e-07,0,71,0,20
5.65e-05,0,98,0,15,2.3e-05,0,74,0,13,0.000153,0,23,0,11,2.47e-08,0,108,0,2,6.26e-07,0,20,0,1,3.27e-07,0,280,1,0,1.03e-07,0,71,0,20
5.84e-05,0,98,0,15,2.32e-05,0,74,0,13,0.000153,0,23,0,11,2.48e-08,0,108,0,2,6.22e-07,0,20,0,1,3.27e-07,0,280,1,0,9.87e-08,0,83,0,20
6e-05,0,98,0,15,2.35e-05,0,74,0,13,0.000152,0,23,0,11,2.49e-08,0,108,0,2,6.19e-07,0,20,0,1,3.23e-07,0,280,1,0,9.49e-08,0,85,0,20
6e-05,0,98,0,15,0.1,0,74,0,13,0.000152,0,23,0,11,2.5e-08,0,108,0,2,6.16e-07,0,20,0,1,3.2e-07,0,280,1,0,8.81e-08,0,85,0,20
6e-05,0,98,0,15,0.1,0,74,0,13,0.000152,0,23,0,11,2.5e-08,0,108,0,2,6.14e-07,0,20,0,1,3.17e-07,0,280,1,0,8.39e-08,0,87,0,20
6.03e-05,0,98,0,15,0.1,0,74,0,13,0.000152,0,23,0,11,2.5e-08,0,108,0,2,6.13e-07,0,20,0,1,3.15e-07,0,280,1,0,7.7e-08,0,87,0,20
5.98e-05,0,98,0,15,0.1,0,74,0,13,0.000152,0,23,0,11,2.53e-08,0,108,0,2,6.05e-07,0,20,0,1,3.14e-07,0,280,1,0,7.26e-08,0,90,0,20
5.88e-05,0,98,0,15,0.1,0,74,0,13,0.000152,0,23,0,11,2.51e-08,0,108,0,2,6.05e-07,0,20,0,1,3.14e-07,0,280,1,0,6.94e-08,0,90,0,20
5.86e-05,0,98,0,15,0.1,0,74,0,13,0.000152,0,23,0,11,2.57e-08,0,108,0,2,6.16e-07,0,20,0,1,3.23e-07,0,280,1,0,6.36e-08,0,90,0,20
5.83e-05,0,98,0,15,0.1,0,74,0,13,0.000152,0,23,0,11,2.58e-08,0,108,0,2,6.14e-07,0,20,0,1,3.18e-07,0,280,1,0,5.95e-08,0,90,0,20
5.83e-05,0,98,0,15,0.1,0,74,0,13,0.000152,0,23,0,11,2.58e-08,0,108,0,2,6.11e-07,0,20,0,1,3.15e-07,0,280,1,0,5.57e-08,0,90,0,20
5.83e-05,0,98,0,15,0.1,0,74,0,13,0.000151,0,23,0,11,2.57e-08,0,108,0,2,6.21e-07,0,20,0,1,3.1e-07,0,280,1,0,5.33e-08,0,90,0,20
5.83e-05,0,98,0,15,0.1,0,74,0,13,0.00015,0,23,0,11,2.56e-08,0,108,0,2,6.19e-07,0,20,0,1,3.07e-07,0,280,1,0,4.9e-08,0,90,0,20
5.83e-05,0,98,0,15,0.1,0,74,0,13,0.00015,0,23,0,11,2.57e-08,0,108,0,2,6.16e-07,0,20,0,1,3.05e-07,0,280,1,0,4.58e-08,0,90,0,20
5.83e-05,0,98,0,15,0.1,0,74,0,13,0.000149,0,23,0,11,2.58e-08,0,108,0,2,6.15e-07,0,20,0,1,3.03e-07,0,280,1,0,4.38e-08,0,90,0,20
5.83e-05,0,98,0,15,0.1,0,74,0,13,0.000149,0,23,0,11,2.59e-08,0,108,0,2,6.15e-07,0,20,0,1,3.03e-07,0,280,1,0,4.19e-08,0,90,0,20
